LOAN_NO,age,channel,education,income,install_num,is_attach,is_fam_know,is_fam_reg_add,is_insuuance,is_reg_live,live_build_type,loan_amt,mar_level,mar_status,mobile_time_span,mth_repay_amt,mth_repay_date,mth_tel_bill,nation,no_close_loan,sex,str_level,unit_prov,unit_scale,FPD30,unit_is_live,reg_is_unit
660002019021103469,25.0,PC,初中,7103.0,3.0,1.0,是,1.0,1.0,否,宿舍,2000.0,A1,未婚,5008.0,842.0,11.0,50-100,回族,1.0,男,0.0,甘肃,10-20,0.0,1,1
660002019022602449,27.0,PC,初中,7105.0,12.0,1.0,否,0.0,1.0,否,与父母同住,5000.0,A1,离婚,5010.0,633.0,26.0,50-100,维吾尔族,1.0,男,1.0,新疆,0-5,0.0,1,1
660002019030602829,43.0,PC,初中,7104.0,4.0,1.0,miss,miss,1.0,否,全款,3000.0,A1,已婚有子女,5010.0,966.0,6.0,200+,汉族,0.0,男,0.0,宁夏,0-5,0.0,1,1
660002019022500789,42.0,PC,高中,4800.0,12.0,1.0,否,1.0,1.0,是,全款,4000.0,A1,已婚有子女,24.0,510.0,25.0,50-100,汉族,0.0,女,1.0,甘肃,0-5,0.0,1,1
660002019022801183,23.0,PC,初中,7103.0,12.0,1.0,是,miss,1.0,否,与父母同住,4000.0,A1,未婚,5010.0,510.0,28.0,50-100,彝族,1.0,男,1.0,贵州,20-50,0.0,1,1
660002019020300021,25.0,微信,高中,7103.0,4.0,1.0,是,1.0,1.0,否,租赁,3000.0,A1,已婚有子女,5010.0,966.0,3.0,100-150,汉族,1.0,女,0.0,贵州,20-50,0.0,1,1
660002019021302447,46.0,PC,初中,7104.0,12.0,1.0,miss,miss,2.0,是,自建房,8000.0,A1,已婚有子女,5010.0,949.0,13.0,100-150,汉族,0.0,男,1.0,河南,5-10,0.0,1,1
660002019022200725,25.0,PC,初中,7105.0,3.0,1.0,是,1.0,1.0,否,与父母同住,2000.0,A1,未婚,5010.0,842.0,22.0,100-150,汉族,1.0,男,0.0,贵州,0-5,0.0,1,1
660002019022703485,18.0,微信,高中,7104.0,3.0,1.0,否,miss,1.0,是,与父母同住,2000.0,A1,未婚,5010.0,842.0,27.0,100-150,汉族,1.0,男,0.0,浙江,20-50,0.0,1,0
660002019030300703,31.0,PC,高中,5000.0,3.0,1.0,是,1.0,1.0,否,宿舍,2000.0,A1,已婚有子女,60.0,842.0,3.0,0-100元,汉族,0.0,男,0.0,山西,0-5,0.0,1,0
660002019031100425,29.0,微信,高中,7102.0,3.0,1.0,miss,miss,1.0,否,全款,2000.0,A1,已婚有子女,5010.0,842.0,11.0,100-150,蒙古族,0.0,女,0.0,内蒙古,20-50,1.0,1,1
660002019022702547,47.0,PC,初中,7104.0,12.0,1.0,否,miss,1.0,否,全款,8000.0,A1,已婚有子女,5010.0,1004.0,27.0,50-100,汉族,0.0,男,1.0,陕西,5-10,0.0,1,1
660002019021801758,23.0,微信,初中,4000.0,12.0,1.0,否,1.0,1.0,否,宿舍,8000.0,A1,未婚,40.0,1004.0,18.0,50-100,汉族,0.0,女,0.0,海南,0-5,0.0,1,1
660002019031000979,36.0,PC,初中,3000.0,12.0,1.0,否,1.0,1.0,否,全款,4000.0,A1,已婚有子女,90.0,510.0,10.0,150-200,汉族,0.0,男,1.0,云南,0-5,0.0,1,1
660002019022700326,36.0,微信,高中,3000.0,12.0,1.0,否,1.0,1.0,否,租赁,4000.0,A1,已婚有子女,4.0,510.0,27.0,50-100,汉族,0.0,女,0.0,广西,5-10,0.0,1,0
660002019030303667,30.0,微信,高中,5500.0,12.0,1.0,否,1.0,1.0,否,租赁,4000.0,A1,未婚,60.0,510.0,3.0,0-100元,汉族,0.0,男,0.0,甘肃,0-5,0.0,1,1
660002019020701761,34.0,微信,初中,7104.0,12.0,1.0,否,0.0,1.0,是,自建房,4000.0,A1,已婚有子女,5008.0,510.0,7.0,50-100,汉族,2.0,男,0.0,河南,5-10,0.0,1,1
660002019020500620,37.0,微信,大专,7104.0,12.0,1.0,否,1.0,1.0,是,自建房,8000.0,A1,已婚有子女,5010.0,1004.0,5.0,150-200,白族,0.0,男,0.0,云南,50-100,0.0,1,1
660002019030100412,26.0,微信,中专,7103.0,4.0,1.0,miss,miss,1.0,是,全款,3000.0,A1,已婚无子女,5010.0,966.0,1.0,0-50,汉族,0.0,男,0.0,新疆,5-10,0.0,1,1
660002019020700033,24.0,微信,高中,7103.0,4.0,1.0,否,1.0,1.0,否,与父母同住,3000.0,A1,未婚,5010.0,966.0,7.0,50-100,汉族,1.0,女,0.0,新疆,5-10,0.0,1,1
660002019031000955,23.0,微信,高中,7103.0,12.0,1.0,是,0.0,1.0,否,与父母同住,8000.0,A1,未婚,5010.0,1004.0,10.0,100-150,汉族,0.0,男,0.0,黑龙江,5-10,0.0,1,1
660002019022700348,23.0,微信,高中,3500.0,4.0,1.0,否,1.0,1.0,否,与父母同住,3000.0,A1,未婚,10.0,966.0,27.0,101-200元,汉族,0.0,女,0.0,甘肃,20-50,0.0,1,1
660002019022701835,26.0,PC,初中,7103.0,4.0,1.0,miss,miss,1.0,否,其他,2000.0,A1,已婚有子女,5010.0,649.0,27.0,100-150,汉族,0.0,男,0.0,贵州,0-5,0.0,1,1
660002019021001428,24.0,微信,高中,7104.0,9.0,1.0,否,1.0,1.0,否,宿舍,4000.0,A1,未婚,5010.0,638.0,10.0,0-50,汉族,1.0,男,0.0,新疆,200+,0.0,1,0
660002019031301620,26.0,PC,初中,5000.0,3.0,1.0,是,1.0,1.0,否,租赁,2000.0,A1,离婚,54.0,842.0,13.0,150-200,rare_nation,0.0,男,0.0,贵州,0-5,0.0,1,1
660002019030202053,28.0,PC,初中,4000.0,12.0,1.0,是,1.0,1.0,否,租赁,8000.0,A1,未婚,24.0,1004.0,2.0,50-100,rare_nation,0.0,男,1.0,贵州,0-5,0.0,1,1
660002019020201097,37.0,PC,中专,7102.0,4.0,1.0,miss,miss,1.0,是,与父母同住,3000.0,A1,已婚有子女,5010.0,966.0,2.0,50-100,汉族,1.0,女,0.0,河南,5-10,0.0,1,1
660002019030200916,33.0,PC,初中,7104.0,4.0,1.0,否,1.0,1.0,否,宿舍,2000.0,A1,已婚有子女,5010.0,649.0,2.0,50-100,黎族,1.0,男,0.0,海南,10-20,1.0,1,1
660002019022601303,30.0,PC,高中,7000.0,3.0,1.0,是,1.0,1.0,否,全款,2000.0,A1,已婚有子女,48.0,842.0,26.0,50-100,维吾尔族,0.0,男,0.0,新疆,200+,0.0,1,1
660002019030503179,32.0,PC,初中,7104.0,12.0,1.0,否,0.0,1.0,否,全款,6000.0,A1,已婚有子女,5007.0,757.0,5.0,0-50,汉族,0.0,女,1.0,青海,200+,0.0,1,1
660002019031302001,31.0,PC,大专,7105.0,4.0,1.0,否,miss,1.0,否,租赁,2000.0,A1,未婚,5010.0,649.0,13.0,100-150,汉族,1.0,男,0.0,内蒙古,5-10,0.0,1,1
660002019030700816,27.0,PC,初中,7104.0,3.0,1.0,是,1.0,1.0,否,宿舍,2000.0,A1,未婚,5010.0,842.0,7.0,50-100,汉族,1.0,男,0.0,海南,10-20,0.0,1,0
660002019030800899,34.0,PC,初中,5000.0,3.0,1.0,否,1.0,1.0,否,租赁,2000.0,A1,已婚有子女,100.0,842.0,8.0,101-200元,汉族,0.0,男,0.0,贵州,0-5,1.0,1,1
660002019021903569,28.0,微信,初中,2500.0,4.0,1.0,是,0.0,1.0,是,租赁,3000.0,A1,已婚有子女,36.0,966.0,19.0,101-200元,汉族,1.0,女,0.0,贵州,200+,0.0,1,1
660002019021000502,30.0,微信,初中,4500.0,12.0,1.0,否,1.0,1.0,否,租赁,8000.0,A1,已婚有子女,24.0,1004.0,10.0,50-100,汉族,0.0,男,0.0,rare_prov,50-100,0.0,1,1
660002019031100661,23.0,PC,大专,1200.0,4.0,1.0,否,1.0,1.0,否,宿舍,3000.0,A1,未婚,12.0,966.0,11.0,0-50,布依族,0.0,女,0.0,贵州,0-5,0.0,1,1
660002019020201705,29.0,PC,大专,3500.0,9.0,1.0,是,1.0,1.0,否,租赁,4000.0,A1,已婚无子女,3.0,638.0,2.0,50-100,藏族,0.0,女,1.0,青海,5-10,0.0,1,1
660002019030803021,30.0,PC,初中,7103.0,12.0,1.0,否,1.0,1.0,否,全款,4000.0,A1,已婚有子女,5009.0,510.0,8.0,50-100,汉族,0.0,男,1.0,新疆,0-5,0.0,1,0
660002019022702880,41.0,PC,大专,5000.0,3.0,1.0,否,1.0,1.0,否,全款,2000.0,A1,已婚有子女,86.0,842.0,27.0,101-200元,汉族,0.0,男,0.0,四川,0-5,0.0,1,1
660002019031301062,22.0,微信,初中,7102.0,9.0,1.0,是,1.0,1.0,否,其他,5000.0,A1,未婚,5010.0,793.0,13.0,50-100,彝族,0.0,男,0.0,云南,5-10,0.0,1,1
660002019022201705,24.0,PC,初中,7104.0,3.0,1.0,否,1.0,1.0,否,宿舍,2000.0,A1,已婚有子女,5010.0,842.0,22.0,50-100,布依族,1.0,男,0.0,贵州,50-100,0.0,1,1
660002019031100895,32.0,微信,初中,3400.0,3.0,1.0,是,1.0,1.0,否,其他,2000.0,A1,已婚有子女,48.0,842.0,11.0,50-100,汉族,0.0,女,0.0,内蒙古,5-10,1.0,1,1
660002019030600240,33.0,微信,中专,7103.0,4.0,1.0,是,1.0,1.0,否,宿舍,3000.0,A1,未婚,5010.0,966.0,6.0,0-50,苗族,1.0,男,0.0,贵州,10-20,0.0,1,1
660002019021602046,38.0,PC,其他,4500.0,4.0,1.0,是,1.0,1.0,是,与父母同住,3000.0,A1,未婚,18.0,966.0,16.0,50-100,彝族,1.0,男,0.0,云南,0-5,0.0,1,1
660002019030402273,37.0,PC,高中,7000.0,12.0,1.0,是,0.0,1.0,否,租赁,5000.0,A1,已婚有子女,48.0,633.0,4.0,101-200元,汉族,0.0,男,1.0,内蒙古,200+,0.0,1,0
660002019031301614,25.0,PC,初中,7103.0,4.0,1.0,否,1.0,1.0,是,与父母同住,3000.0,A1,未婚,5009.0,966.0,13.0,100-150,rare_nation,0.0,男,0.0,贵州,5-10,1.0,1,1
660002019030700999,22.0,PC,高中,7105.0,12.0,1.0,是,0.0,2.0,否,租赁,6000.0,A1,未婚,5010.0,715.0,7.0,50-100,汉族,0.0,女,1.0,新疆,20-50,0.0,1,1
660002019022302161,39.0,PC,初中,2000.0,4.0,1.0,是,1.0,1.0,是,自建房,2000.0,A1,已婚有子女,378.0,649.0,23.0,50-100,汉族,0.0,女,0.0,四川,100-200,0.0,1,1
660002019022302272,34.0,微信,中专,2200.0,3.0,1.0,否,1.0,1.0,是,全款,2000.0,A1,已婚有子女,12.0,842.0,23.0,50-100,哈萨克族,0.0,女,0.0,新疆,20-50,0.0,1,1
660002019021402859,52.0,PC,初中,7102.0,4.0,1.0,是,0.0,1.0,是,自建房,3000.0,A1,已婚有子女,5010.0,966.0,14.0,100-150,汉族,0.0,女,0.0,贵州,10-20,0.0,1,1
